2017-06-16 17:11:25 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 416
2017-06-16 17:11:25 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 418
2017-06-16 17:11:28 - PHP Warning:  unlink(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog/manufacturer.php): Permission denied in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 101
2017-06-16 17:11:28 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 17:11:28 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 17:11:28 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 17:11:28 - PHP Warning:  fopen(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog/manufacturer.php): failed to open stream: Permission denied in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 414
2017-06-16 17:11:28 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 416
2017-06-16 17:11:28 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 418
2017-06-16 17:11:57 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 17:11:57 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 17:11:57 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 17:11:57 - PHP Warning:  fopen(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog/manufacturer.php): failed to open stream: Permission denied in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 414
2017-06-16 17:11:57 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 416
2017-06-16 17:11:57 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 418
2017-06-16 17:12:45 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 17:12:45 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 17:12:45 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 17:12:45 - PHP Warning:  fopen(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog/manufacturer.php): failed to open stream: Permission denied in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 414
2017-06-16 17:12:45 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 416
2017-06-16 17:12:45 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 418
2017-06-16 19:25:54 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 19:25:54 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 19:25:54 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 19:25:54 - PHP Warning:  fopen(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog/manufacturer.php): failed to open stream: Permission denied in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 414
2017-06-16 19:25:54 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 416
